City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,18.41,clear sky
79,Tiksi,RU,71.6872,128.8694,-2.22,97,100,6.62,overcast clouds
80,Ustye,RU,59.6304,39.736,44.37,89,100,5.17,overcast clouds
81,Harsud,IN,22.1,76.7333,66.09,58,90,2.51,overcast clouds
82,Svetlogorsk,BY,52.6333,29.7333,45.73,66,6,10.83,clear sky
83,Nikolskoye,RU,59.7035,30.7861,43.39,93,78,6.76,broken clouds
84,Kasempa,ZM,-13.4584,25.8338,82.2,23,75,3.27,broken clouds
85,Santa Rosa,PH,14.3122,121.1114,80.58,76,14,12.03,few clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,87.62,64,25,4.59,scattered clouds
87,Saint George,US,37.1041,-113.5841,57.79,54,1,0.0,clear sky
88,Tibati,CM,6.4667,12.6333,74.35,73,99,4.47,overcast clouds
89,Batticaloa,LK,7.7102,81.6924,79.21,85,79,5.44,broken clouds
90,Ribeira Grande,PT,38.5167,-28.7,71.33,90,100,20.11,overcast clouds
91,Makakilo City,US,21.3469,-158.0858,69.57,83,1,0.0,clear sky
92,Thompson,CA,55.7435,-97.8558,35.76,80,20,10.36,few clouds
93,Great Yarmouth,GB,52.6083,1.7305,52.05,79,81,11.77,broken clouds
94,Nevelsk,RU,46.6733,141.8633,30.63,87,93,8.12,overcast clouds
95,Betsiamites,CA,48.9413,-68.646,48.6,60,70,6.38,broken clouds
96,Vardo,NO,70.3705,31.1107,39.13,75,70,9.84,broken clouds
97,Hitachi,JP,36.6,140.65,51.75,76,71,1.79,broken clouds
98,Port Lincoln,AU,-34.7333,135.8667,52.27,70,1,7.18,clear sky
99,Rawson,AR,-43.3002,-65.1023,54.37,61,6,31.65,clear sky
100,Ust-Nera,RU,64.5667,143.2,-10.91,97,94,2.08,overcast clouds
101,Castro,BR,-24.7911,-50.0119,71.35,75,51,7.9,broken clouds
102,Noumea,NC,-22.2763,166.4572,60.78,83,5,4.18,clear sky
103,Umm Lajj,SA,25.0213,37.2685,83.79,51,58,10.71,broken clouds
104,Urucara,BR,-2.5364,-57.76,94.93,40,41,1.54,scattered clouds
105,Esmeraldas,BR,-19.7625,-44.3139,86.11,75,89,6.26,overcast clouds
106,Markdale,CA,44.3168,-80.6497,48.33,95,100,7.85,overcast clouds
107,Lavrentiya,RU,65.5833,-171.0,10.62,78,55,6.13,broken clouds
108,East London,ZA,-33.0153,27.9116,63.54,88,0,12.66,clear sky
109,Avarua,CK,-21.2078,-159.775,73.45,68,20,13.8,few clouds
110,Mindelo,CV,16.8901,-24.9804,81.95,61,75,20.71,broken clouds
111,Taunggyi,MM,20.7833,97.0333,60.21,98,25,3.15,scattered clouds
112,Kabompo,ZM,-13.5927,24.2008,79.45,43,94,7.43,overcast clouds
113,Obihiro,JP,42.9172,143.2044,39.67,87,78,2.08,broken clouds
114,Airai,TL,-8.9266,125.4092,62.53,91,99,0.74,overcast clouds
115,San Policarpo,PH,12.1791,125.5072,80.55,80,100,19.3,overcast clouds
116,Tessalit,ML,20.1986,1.0114,90.99,12,73,3.58,broken clouds
117,Kapit,MY,2.0167,112.9333,75.13,98,100,0.29,overcast clouds
118,Cherskiy,RU,68.75,161.3,-3.93,99,100,5.01,overcast clouds
119,Dunedin,NZ,-45.8742,170.5036,50.5,83,0,1.52,clear sky
120,Swellendam,ZA,-34.0226,20.4417,63.21,76,23,10.0,few clouds
121,Paamiut,GL,61.994,-49.6678,31.95,82,61,14.72,broken clouds
122,Soyo,AO,-6.1349,12.3689,78.01,85,88,11.03,overcast clouds
123,Isangel,VU,-19.55,169.2667,74.19,84,2,6.08,clear sky
124,Iracoubo,GF,5.4802,-53.2011,83.97,67,58,7.49,broken clouds
125,Bowen,AU,-20.0167,148.2333,71.82,80,7,4.45,clear sky
126,Hurricane,US,37.1753,-113.2899,71.6,27,6,3.22,clear sky
127,Tecoanapa,MX,16.5167,-98.75,84.7,67,4,7.54,clear sky
128,Konosha,RU,60.9736,40.257,43.65,83,100,6.71,overcast clouds
129,Paracatu,BR,-17.2222,-46.8747,89.76,34,80,5.28,broken clouds
130,Georgetown,MY,5.4112,100.3354,77.9,94,40,1.99,scattered clouds
131,Kaeo,NZ,-35.1,173.7833,62.73,97,100,13.2,overcast clouds
132,Roebourne,AU,-20.7833,117.1333,72.68,68,0,8.52,clear sky
133,Jamestown,US,42.097,-79.2353,53.19,93,90,3.44,overcast clouds
134,Charters Towers,AU,-20.1,146.2667,71.62,87,5,6.29,clear sky
